English,Lisu, When/Why
"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","ꓖꓳ ꓡꓱ ꓢꓲ ꓪꓴ-ꓢ ꓡꓰ ꓟꓵ: ꓪꓴ ꓚꓰ; ꓢꓲ꓾ ꓟꓵ ꓪꓴ ꓠꓯ. ꓘꓪ ꓟ ꓬꓲ ꓙꓬˍ ꓐꓰ꓾ ꓟꓵ ꓪꓴ ꓕꓯ ꓢꓲ ꓟ ꓬꓲ ꓙꓬ ꓔꓯ ꓐꓱꓻ ꓗꓷ ꓠꓬ ꓬꓲ ꓖꓳ ꓡꓱ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","ꓪꓴ-ꓢ ꓡꓰ꓾ ꓟꓲ ꓠꓯ ꓔꓯ ꓠꓬ ꓟꓳ; ꓤ ꓫꓵ. ꓤˍ ꓐꓰ ꓬꓲ ꓫꓵ. ꓓꓱ;ˍ ꓟ ꓪꓳ: ꓫꓵ ꓪꓳ ꓙꓰ:ˍ ꓐꓰ꓾ ꓬꓲ ꓫꓵ. ꓕꓱ, ꓞˍ ꓟ ꓢꓶ, ꓢꓶ ꓓꓱ;ˍ ꓟ ꓢꓲ, ꓜꓲ ꓡꓳ ꓜꓲ ꓙꓰ: ꓫꓵ ꓙꓰ ꓛꓳ ꓢꓲ꓾ ꓟꓲ ꓠꓯ ꓗꓪ ꓣꓱꓻ ꓡ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ= ꓖꓳ ꓡꓱ ꓠꓬ ꓬꓲ ꓖꓳ ꓡꓱ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"And God said, Let the earth bring forth grass,","ꓪꓴ-ꓢ ꓡꓰ꓾ ꓟꓲ ꓠꓯ ꓔꓯ ꓠꓬ ꓟꓳ; ꓤ ꓫꓵ. ꓤ"
"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","ꓪꓴ-ꓢ ꓡꓰ꓾ ꓬꓲ ꓙꓬ ꓗꓳ ꓡꓳ ꓗꓪ ꓟꓵ: ꓪꓴ ꓙꓳꓻ ꓝꓲ= ꓖꓳ ꓡꓱ ꓢꓲ ꓟꓵ: ꓪꓴ ꓖꓳ ꓟ ꓡꓰ ꓬꓲ ꓙꓬˍ ꓐꓰ ꓬꓲ ꓙꓬ ꓔꓯ ꓐꓱꓻ ꓗꓷ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ="
"And God said, “Let the water under the sky be gathered to one place, and let dry ground appear.” And it was so.","ꓪꓴ-ꓢ ꓡꓰ꓾ ꓟꓴ ꓗꓪ ꓠꓯ. ꓘꓪ ꓗꓪ ꓟ ꓬꓲ ꓙꓬ ꓔꓯ ꓕꓲ ꓪꓺ; ꓜꓲ; ꓡꓰ ꓝꓲ ꓢꓲ꓾ ꓟꓲ ꓩꓴ ꓓꓳ ꓡ ꓝꓲ꓾ ꓐꓰ ꓐꓯ ꓗꓷ ꓠꓬ꓾ ꓬꓲ ꓖꓳ ꓡꓱ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"And God said, “Let there be light,” and there was light.","ꓪꓴ-ꓢ ꓡꓰ꓾ ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓙꓳꓻ ꓡ ꓝꓲ꓾ ꓐꓰ ꓐꓯ ꓗꓷ ꓠꓬ꓾ ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓙꓳ ꓡˍ ꓡꓳ="
"God said,","ꓪꓴ-ꓢ ꓡꓰ꓾"
"And God saw that it was good.","ꓖꓳ ꓟ ꓠꓬ ꓙꓲˍ ꓡꓳ꓾ ꓐꓰ ꓪꓴ-ꓢ ꓡꓳ. ꓟꓳˍ ꓡꓳ="
"And it was so.","ꓬꓲ ꓖꓳ ꓡꓱ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","ꓖꓳ ꓡꓱ ꓠꓬ ꓟꓲ ꓠꓯ ꓗꓪ ꓟꓳ; ꓤ ꓫꓵ. ꓤˍ ꓐꓰ꓾ ꓙꓰ: ꓫꓵ ꓙꓰ ꓛꓳ ꓢꓲ ꓬꓲ ꓫꓵ. ꓓꓱ;ˍ ꓟ ꓪꓳ ꓫꓵ ꓪꓳ ꓙꓰˍ ꓐꓰ꓾ ꓙꓰ: ꓫꓵ ꓙꓰ ꓛꓳ ꓢꓲ ꓬꓲ ꓫꓵ. ꓕꓱ, ꓞˍ ꓟ ꓢꓶ, ꓢꓶ ꓓꓱ;ˍ ꓟ ꓢꓲ, ꓜꓲ ꓡꓳ ꓜꓲ ꓣꓱ ꓡˍ ꓡꓳ= ꓖꓳ ꓟ ꓠꓬ ꓙꓲˍ ꓟ ꓥ ꓡꓳ꓾ ꓐꓰ ꓪꓴ-ꓢ ꓡꓳ. ꓟꓳˍ ꓡꓳ="
